wave21	wave20
-47.094	1454.7105
-47.694	1454.75
-50.589	1454.7895
-54.125	1454.8289
-58.546	1454.8684
-70.788	1454.9079
-210	1454.9474
-72.697	1454.9868
-66.94799999999999	1455.0263
-210	1455.0658
-210	1455.1053
-59.356	1455.1447
-63.576	1455.1842
-210	1455.2237
-210	1455.2632
-65.83199999999999	1455.3026
-59.175	1455.3421
-210	1455.3816
-65.221	1455.4211
-210	1455.4605
-60.689	1455.5
-62.778	1455.5395
-62.39	1455.5789
-67.40000000000001	1455.6184
-62.779	1455.6579
-60.567	1455.6974
-66.11799999999999	1455.7368
-59.286	1455.7763
-210	1455.8158
-210	1455.8553
-60.04	1455.8947
-60.743	1455.9342
-64.753	1455.9737
-58.222	1456.0132
-55.43	1456.0526
-57.218	1456.0921
-56.416	1456.1316
-57.772	1456.1711
-210	1456.2105
-61.462	1456.25
-59.553	1456.2895
-64.952	1456.3289
-210	1456.3684
-210	1456.4079
-62.25	1456.4474
-210	1456.4868
-65.374	1456.5263
-60.177	1456.5658
-210	1456.6053
-63.304	1456.6447
-59.877	1456.6842
-58.122	1456.7237
-54.522	1456.7632
-53.923	1456.8026
-54.172	1456.8421
-56.061	1456.8816
-67.65000000000001	1456.9211
-210	1456.9605
-210	1457
-210	1457.0395
-210	1457.0789
-61.467	1457.1184
-60.113	1457.1579
-210	1457.1974
-210	1457.2368
-210	1457.2763
-71.351	1457.3158
-210	1457.3553
-64.824	1457.3947
-55.05	1457.4342
-52.637	1457.4737
-53.288	1457.5132
-52.772	1457.5526
-53.38	1457.5921
-55.559	1457.6316
-60.226	1457.6711
-210	1457.7105
-210	1457.75
-66.188	1457.7895
-64.33499999999999	1457.8289
-210	1457.8684
-76.19499999999999	1457.9079
-210	1457.9474
-66.369	1457.9868
-210	1458.0263
-210	1458.0658
-60.41	1458.1053
-55.732	1458.1447
-52.701	1458.1842
-52.522	1458.2237
-51.857	1458.2632
-53.316	1458.3026
-54.254	1458.3421
-55.685	1458.3816
-64.26000000000001	1458.4211
-72.91800000000001	1458.4605
-71.354	1458.5
-59.017	1458.5395
-65.38	1458.5789
-62.116	1458.6184
-59.639	1458.6579
-78.48699999999999	1458.6974
-62.403	1458.7368
-62.791	1458.7763
-61.069	1458.8158
-55.545	1458.8553
-51.748	1458.8947
-51.31	1458.9342
-50.612	1458.9737
